PC1,PC2,cluster
-0.0584,-1.08,2
0.0206,-0.9953,2
0.4455,-0.8682,4
0.3932,-0.9025,4
0.4152,-0.9694,4
-0.0602,-1.0521,2
0.3756,-0.9992,4
-0.0572,-1.0234,2
0.3779,-0.9125,4
0.3992,-0.8985,4
-0.091,-1.1014,2
0.3133,-0.9242,4
0.3914,-0.9036,4
0.0022,-1.0633,2
0.379,-0.9118,4
0.3542,-0.9787,4
0.3915,-0.9888,4
0.0495,-0.9803,2
-0.0049,-1.0679,2
0.3826,-0.9908,4
-0.0276,-1.0828,2
-0.0671,-1.0337,2
0.0068,-1.0603,2
-0.0584,-1.08,2
-0.0889,-1.0441,2
0.0153,-0.9988,2
0.3889,-0.9905,4
0.3577,-0.9765,4
-0.0525,-1.0761,2
-0.0405,-1.0392,2
-0.7291,-0.0572,2
-0.8909,-0.2567,2
-0.8577,-0.258,2
-0.8754,-0.2466,2
-0.831,-0.0972,2
-0.878,-0.2713,2
-0.7889,-0.0964,2
-0.748,-0.01,2
-0.8264,-0.0346,2
-0.9326,-0.2542,2
-0.7696,-0.0799,2
-0.8228,-0.2091,2
-0.932,-0.3067,2
-0.7396,-0.0641,2
-0.9607,-0.2765,2
-0.8163,-0.201,2
-0.8744,-0.2459,2
-0.7965,-0.0707,2
-0.8698,-0.2429,2
-0.8744,-0.2689,2
-0.9428,-0.2908,2
-0.805,-0.2234,2
-0.8329,-0.0656,2
-0.7605,-0.0778,2
-0.7765,-0.0286,2
-0.7881,-0.0363,2
-0.763,-0.1959,2
-0.7915,-0.0385,2
-0.8986,-0.2848,2
-0.8045,-0.1066,2
-0.7944,-0.625,5
-1.3235,-0.6279,5
-1.203,-0.7497,5
-1.0251,-0.7365,5
-1.1793,-0.7418,5
-0.6272,-0.5537,5
-1.2926,-0.4371,5
-1.4098,-0.4818,5
-0.8449,-0.4779,5
-1.394,-0.4577,5
-1.3882,-0.4538,5
-0.807,-0.6409,5
-0.801,-0.637,5
-1.2158,-0.7849,5
-0.8805,-0.5652,5
-1.3496,-0.7985,5
-1.2977,-0.5613,5
-1.1746,-0.754,5
-1.0493,-0.4863,5
-0.801,-0.637,5
-1.3245,-0.7821,5
-1.5959,-0.9857,5
-0.79,-0.6489,5
-1.2219,-0.7697,5
-1.3847,-0.4653,5
-1.3726,-0.8235,5
-1.0899,-0.4562,5
-0.8407,-0.5613,5
-1.394,-0.4577,5
-1.3015,-0.6524,5
-1.078,-0.8224,5
-0.7759,-0.7431,5
-1.0231,-0.8133,5
-1.1716,-0.5469,5
-1.1996,-0.8666,5
-1.2223,-0.832,5
-0.7651,-0.6041,5
-0.6463,-0.6837,5
-1.2401,-0.518,5
-0.522,-0.5992,5
-1.159,-0.6214,5
-1.2425,-0.5333,5
-0.6918,-0.6735,5
-0.522,-0.5992,5
-1.1412,-0.8177,5
-0.6609,-0.6098,5
-0.7005,-0.6358,5
-1.1738,-0.9882,5
-1.0231,-0.8133,5
-1.0121,-0.8198,5
-1.2425,-0.5333,5
-1.1296,-0.4868,5
-1.1245,-0.6859,5
-1.1237,-0.4829,5
-0.6961,-0.6802,5
-0.6995,-0.7117,5
-1.0574,-0.8127,5
-0.8254,-0.799,5
-1.0237,-0.7868,5
-0.8713,-0.8291,5
2.6091,0.359,1
2.0339,0.3021,1
3.8395,0.1337,1
2.5039,0.4071,1
2.139,0.254,1
3.765,0.2035,1
3.7635,0.2025,1
2.0339,0.3021,1
2.5039,0.4071,1
2.5039,0.4071,1
2.6091,0.359,1
3.3035,0.0122,1
3.7942,0.1273,1
2.6117,0.3607,1
3.7916,0.1273,1
2.139,0.254,1
2.5039,0.4071,1
3.8395,0.1337,1
2.6091,0.359,1
2.139,0.254,1
2.6117,0.3607,1
2.6091,0.359,1
2.6091,0.359,1
2.5039,0.4071,1
2.0339,0.3021,1
3.7927,0.1264,1
3.7951,0.128,1
2.139,0.254,1
2.6101,0.3596,1
2.5039,0.4071,1
-0.5703,2.4276,3
-0.4783,2.488,3
-0.6578,2.5109,3
-0.4783,2.488,3
-0.4783,2.488,3
-0.6256,2.532,3
-0.7534,2.3566,3
-0.5374,1.6762,3
-0.4783,2.488,3
-0.3832,2.5503,3
-0.5782,2.7518,3
-0.6435,2.4694,3
-0.5703,2.4276,3
-0.6578,2.5109,3
-0.9294,2.0062,3
-0.4752,2.49,3
-0.5822,1.8224,3
-0.4525,2.5946,3
-0.5901,1.8981,3
-0.4934,1.9347,3
-0.6233,2.5335,3
-0.5239,1.9147,3
-0.6923,2.7547,3
-0.7874,2.277,3
-0.6435,2.4694,3
-0.5703,2.4276,3
-0.3262,2.3302,3
-0.534,1.6784,3
-0.6578,2.5109,3
-0.7451,2.3621,3
1.1957,-0.4642,4
1.3741,-0.3796,4
1.3653,-0.4537,4
0.5477,-0.6095,4
1.276,-0.4461,4
1.7704,-0.1831,4
1.6524,-0.3729,4
1.6524,-0.3729,4
1.1957,-0.4642,4
1.5047,-0.3476,4
1.1422,-0.4763,4
1.2225,-0.4582,4
1.276,-0.4461,4
1.438,-0.3599,4
1.4925,-0.3994,4
1.6587,-0.3475,4
1.1422,-0.4763,4
1.7448,-0.357,4
1.5665,-0.3909,4
1.1957,-0.4642,4
1.5695,-0.3676,4
1.4738,-0.4166,4
1.7876,-0.3347,4
1.4827,-0.3479,4
1.0218,-0.472,4
1.7364,-0.1901,4
1.3317,-0.4476,4
1.276,-0.4461,4
1.276,-0.4461,4
0.8995,-0.4524,4
-0.6374,-0.2571,2
-0.8884,0.3378,2
-0.9499,0.1449,2
-0.6536,0.2854,2
-0.4249,0.117,2
-1.0945,-0.1316,2
-0.4249,0.117,2
-0.6779,0.5128,2
-1.0945,-0.1316,2
-1.0456,0.4424,2
-1.0819,0.2997,2
-1.0911,0.3737,2
-1.1363,0.2641,2
-1.0456,0.4424,2
-0.4352,0.0786,2
-1.057,0.1706,2
-0.4815,0.2295,2
-0.97,0.39,2
-0.6613,0.2419,2
-0.8758,0.3446,2
-1.0819,0.2997,2
-0.9395,0.3043,2
-0.9204,0.194,2
-1.1673,0.3652,2
-0.5643,0.7309,2
-0.5079,0.8761,2
-0.5243,0.8565,2
-0.97,0.39,2
-1.0945,-0.1316,2
-0.4352,0.0786,2
