Object,Time Step,Instance ID,Available,Server,Being Provisioned,Last Migration
Service_1,0,1,True,,False,
Service_2,0,2,True,,False,
Service_1,1,1,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,1,2,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 1, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,2,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 2, 'end': 2, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_2,2,2,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 2, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_1,3,1,True,5.0,False,"{'status': 'finished', 'origin': 'EdgeServer_3', 'target': 'EdgeServer_5', 'start': 3, 'end': 3, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_2,3,2,True,1.0,True,"{'status': 'pulling_layers', 'origin': 'EdgeServer_1', 'target': 'EdgeServer_2', 'start': 3, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,4,1,True,3.0,False,"{'status': 'finished', 'origin': 'EdgeServer_5', 'target': 'EdgeServer_3', 'start': 4, 'end': 4, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_2,4,2,True,2.0,False,"{'status': 'finished', 'origin': 'EdgeServer_1', 'target': 'EdgeServer_2', 'start': 4, 'end': 4, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_1,5,1,True,5.0,False,"{'status': 'finished', 'origin': 'EdgeServer_3', 'target': 'EdgeServer_5', 'start': 5, 'end': 5, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_2,5,2,True,1.0,False,"{'status': 'finished', 'origin': 'EdgeServer_2', 'target': 'EdgeServer_1', 'start': 5, 'end': 5, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_1,6,1,True,3.0,False,"{'status': 'finished', 'origin': 'EdgeServer_5', 'target': 'EdgeServer_3', 'start': 6, 'end': 6, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_2,6,2,True,2.0,False,"{'status': 'finished', 'origin': 'EdgeServer_1', 'target': 'EdgeServer_2', 'start': 6, 'end': 6, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_1,7,1,True,5.0,False,"{'status': 'finished', 'origin': 'EdgeServer_3', 'target': 'EdgeServer_5', 'start': 7, 'end': 7, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_2,7,2,True,1.0,False,"{'status': 'finished', 'origin': 'EdgeServer_2', 'target': 'EdgeServer_1', 'start': 7, 'end': 7, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_1,8,1,True,3.0,False,"{'status': 'finished', 'origin': 'EdgeServer_5', 'target': 'EdgeServer_3', 'start': 8, 'end': 8, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_2,8,2,True,2.0,False,"{'status': 'finished', 'origin': 'EdgeServer_1', 'target': 'EdgeServer_2', 'start': 8, 'end': 8, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_1,9,1,True,5.0,False,"{'status': 'finished', 'origin': 'EdgeServer_3', 'target': 'EdgeServer_5', 'start': 9, 'end': 9, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
