Object,Time Step,Instance ID,Coordinates,Base Station,Delays,Delay slas,Delay sla deadlines,Communication Paths,Making Requests,Access History
User_1,0,1,"[6, 0]","BaseStation_4 ([6, 0])",,39.0,,{},{'1': {'1': True}},"{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_2,0,2,"[3, 1]","BaseStation_6 ([3, 1])",,40.0,,{},{'2': {'1': True}},"{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 0, 'interval': 0, 'next_access': inf}]}"
User_1,1,1,"[6, 0]","BaseStation_4 ([6, 0])",,39.0,,{},"{'1': {'1': True, '2': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_2,1,2,"[3, 1]","BaseStation_6 ([3, 1])",,40.0,,{},"{'2': {'1': True, '2': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 1, 'interval': 0, 'next_access': inf}]}"
User_1,2,1,"[6, 0]","BaseStation_4 ([6, 0])",10.0,39.0,29.0,{'1': [[]]},"{'1': {'1': True, '2': True, '3': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_2,2,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,40.0,10.0,"{'2': [[6, 5, 1]]}","{'2': {'1': True, '2': True, '3': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 2, 'interval': 0, 'next_access': inf}]}"
User_1,3,1,"[6, 0]","BaseStation_4 ([6, 0])",20.0,39.0,19.0,"{'1': [[4, 8]]}","{'1': {'1': True, '2': True, '3': True, '4': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_2,3,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,40.0,10.0,"{'2': [[6, 5, 1]]}","{'2': {'1': True, '2': True, '3': True, '4': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 3, 'interval': 0, 'next_access': inf}]}"
User_1,4,1,"[6, 0]","BaseStation_4 ([6, 0])",10.0,39.0,29.0,{'1': [[]]},"{'1': {'1': True, '2': True, '3': True, '4': True, '5': True}}","{'1': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 4, 'interval': 0, 'next_access': inf}]}"
User_2,4,2,"[3, 1]","BaseStation_6 ([3, 1])",30.0,40.0,10.0,"{'2': [[6, 5, 9]]}","{'2': {'1': True, '2': True, '3': True, '4': True, '5': True}}","{'2': [{'start': 1, 'end': inf, 'duration': inf, 'waiting_time': 0, 'access_time': 4, 'interval': 0, 'next_access': inf}]}"
