Object,Time Step,Instance ID,Available,Server,Being Provisioned,Last Migration
Service_1,0,1,True,,False,
Service_2,0,2,True,,False,
Service_1,1,1,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,1,2,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,2,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,2,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,3,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,3,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,4,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,4,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,5,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,5,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,6,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,6,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,7,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,7,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,8,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,8,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,9,1,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,9,2,True,7.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 1, 'end': 2, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
