scenario,algo,mean,max,min,std
2ec_high_off,tetris,2.268428846153846,9.3172,0.9871,1.0991616802183828
2ec_high_off,thea,1.8026954444444443,14.1782,0.788,1.3329360142475628
2ec_high_on,tetris,2.17691875,8.5269,0.7447,1.0761892913901243
2ec_high_on,thea,2.790392962962963,32.54,0.9554,2.828004758568417
2ec_low_off,tetris,2.7741112359550564,171.8761,0.8126,10.46021366606452
2ec_low_off,thea,2.185601,21.368,0.8129,1.8964537359876394
2ec_low_on,tetris,2.367478091872792,91.5144,0.8483,5.427078977579013
2ec_low_on,thea,2.472909451219512,109.0657,0.9729,6.131771044772199
sample,tetris,1.7110808333333332,28.5803,0.6669,1.0886178910081288
sample,thea,0.4316936111111111,17.7049,0.2053,0.524737411488167
