config_id,parameter,value,scenario,seed,cumulative_sla_violations,RFI
alpha_0p25,alpha,0.25,2ec_high_off,123456789,28,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,135792468,21,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,141421356,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,161803398,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,173205080,21,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,200496737,28,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,223606797,21,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,246813579,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,271828182,28,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,299792458,33,0.36041666666666666
alpha_0p25,alpha,0.25,2ec_high_off,314159265,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,428956419,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,564738291,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,577215664,33,0.36041666666666666
alpha_0p25,alpha,0.25,2ec_high_off,602214076,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,633816299,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,675849302,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,707106781,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,794161987,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,866025403,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,918273645,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,987654321,21,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,1029384756,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,1123581321,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,1145661099,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,1282538739,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,1329531353,28,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,1410143363,29,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,1835732737,28,0.31360544217687075
alpha_0p25,alpha,0.25,2ec_high_off,1954324947,21,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,123456789,30,0.36041666666666666
alpha_0p5,alpha,0.5,2ec_high_off,135792468,21,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,141421356,33,0.36041666666666666
alpha_0p5,alpha,0.5,2ec_high_off,161803398,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,173205080,21,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,200496737,28,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,223606797,21,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,246813579,33,0.36041666666666666
alpha_0p5,alpha,0.5,2ec_high_off,271828182,28,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,299792458,33,0.36041666666666666
alpha_0p5,alpha,0.5,2ec_high_off,314159265,33,0.36041666666666666
alpha_0p5,alpha,0.5,2ec_high_off,428956419,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,564738291,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,577215664,33,0.36041666666666666
alpha_0p5,alpha,0.5,2ec_high_off,602214076,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,633816299,33,0.36041666666666666
alpha_0p5,alpha,0.5,2ec_high_off,675849302,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,707106781,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,794161987,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,866025403,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,918273645,33,0.36041666666666666
alpha_0p5,alpha,0.5,2ec_high_off,987654321,21,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,1029384756,33,0.36041666666666666
alpha_0p5,alpha,0.5,2ec_high_off,1123581321,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,1145661099,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,1282538739,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,1329531353,28,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,1410143363,29,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,1835732737,28,0.31360544217687075
alpha_0p5,alpha,0.5,2ec_high_off,1954324947,21,0.31360544217687075
alpha_0p75,alpha,0.75,2ec_high_off,123456789,30,0.27861394557823127
alpha_0p75,alpha,0.75,2ec_high_off,135792468,21,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,141421356,282,0.40042379411311446
alpha_0p75,alpha,0.75,2ec_high_off,161803398,29,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,173205080,21,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,200496737,28,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,223606797,21,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,246813579,33,0.27861394557823127
alpha_0p75,alpha,0.75,2ec_high_off,271828182,30,0.27861394557823127
alpha_0p75,alpha,0.75,2ec_high_off,299792458,282,0.4394658521303258
alpha_0p75,alpha,0.75,2ec_high_off,314159265,33,0.27861394557823127
alpha_0p75,alpha,0.75,2ec_high_off,428956419,29,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,564738291,29,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,577215664,282,0.4394658521303258
alpha_0p75,alpha,0.75,2ec_high_off,602214076,29,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,633816299,282,0.40042379411311446
alpha_0p75,alpha,0.75,2ec_high_off,675849302,29,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,707106781,29,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,794161987,29,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,866025403,282,0.40042379411311446
alpha_0p75,alpha,0.75,2ec_high_off,918273645,282,0.40042379411311446
alpha_0p75,alpha,0.75,2ec_high_off,987654321,21,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,1029384756,33,0.27861394557823127
alpha_0p75,alpha,0.75,2ec_high_off,1123581321,29,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,1145661099,29,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,1282538739,288,0.40821044546851
alpha_0p75,alpha,0.75,2ec_high_off,1329531353,28,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,1410143363,29,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,1835732737,28,0.23974732750242955
alpha_0p75,alpha,0.75,2ec_high_off,1954324947,21,0.23974732750242955
alpha_1p0,alpha,1.0,2ec_high_off,123456789,233,0.4572996863416025
alpha_1p0,alpha,1.0,2ec_high_off,135792468,21,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,141421356,282,0.41601171212821697
alpha_1p0,alpha,1.0,2ec_high_off,161803398,282,0.41639522258414763
alpha_1p0,alpha,1.0,2ec_high_off,173205080,21,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,200496737,28,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,223606797,21,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,246813579,282,0.4548350041771094
alpha_1p0,alpha,1.0,2ec_high_off,271828182,229,0.4548350041771094
alpha_1p0,alpha,1.0,2ec_high_off,299792458,282,0.4548350041771094
alpha_1p0,alpha,1.0,2ec_high_off,314159265,282,0.41601171212821697
alpha_1p0,alpha,1.0,2ec_high_off,428956419,29,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,564738291,29,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,577215664,282,0.4548350041771094
alpha_1p0,alpha,1.0,2ec_high_off,602214076,29,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,633816299,282,0.41601171212821697
alpha_1p0,alpha,1.0,2ec_high_off,675849302,29,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,707106781,29,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,794161987,29,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,866025403,282,0.41601171212821697
alpha_1p0,alpha,1.0,2ec_high_off,918273645,282,0.41601171212821697
alpha_1p0,alpha,1.0,2ec_high_off,987654321,21,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,1029384756,282,0.4548350041771094
alpha_1p0,alpha,1.0,2ec_high_off,1123581321,29,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,1145661099,29,0.24586977648202138
alpha_1p0,alpha,1.0,2ec_high_off,1282538739,288,0.42396313364055294
alpha_1p0,alpha,1.0,2ec_high_off,1329531353,28,0.24586977648202138
