parameter,value,scenario,sla_mean,sla_std,rfi_mean,rfi_std
alpha,0.25,2ec_high_off,27.766666666666666,3.276702856408466,0.3167261904761905,0.011876388308010685
alpha,0.5,2ec_high_off,28.633333333333333,3.9346676092654005,0.32764880952380954,0.021818318506336674
alpha,0.75,2ec_high_off,87.26666666666667,109.80513565444902,0.2865786316372169,0.07267794964139125
alpha,1.0,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
alpha,1.25,2ec_high_off,155.96666666666667,124.72272235348446,0.3634711948659539,0.10559774545784695
alpha,1.5,2ec_high_off,164.4,124.3946999647105,0.37452109938935685,0.10901929226811927
alpha,1.75,2ec_high_off,173.16666666666666,123.72357490998127,0.38495545769208234,0.11139427707884247
alpha,2.0,2ec_high_off,173.16666666666666,123.72357490998127,0.38801395571460034,0.11387716167024503
beta,0.25,2ec_high_off,186.76666666666668,117.48299461193737,0.3774439672572331,0.09587200775674608
beta,0.5,2ec_high_off,173.16666666666666,123.72357490998127,0.36272731208756637,0.09807134056336615
beta,0.75,2ec_high_off,155.96666666666667,124.72272235348446,0.361036479538243,0.10311950705985695
beta,1.0,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
beta,1.25,2ec_high_off,125.56666666666666,123.92257965006392,0.3220384126061724,0.09567252695997332
beta,1.5,2ec_high_off,119.33333333333333,123.98368450319785,0.3750250760061732,0.10517403867370695
beta,1.75,2ec_high_off,119.33333333333333,123.98368450319785,0.3734184269965012,0.1028315328859088
beta,2.0,2ec_high_off,102.46666666666667,117.53964359352103,0.36010272854883735,0.09872051549158822
eta,0.25,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
eta,0.5,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
eta,0.75,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
eta,1.0,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
eta,1.25,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
eta,1.5,2ec_high_off,133.7,125.48613057034326,0.32700014134128214,0.09512483177874247
eta,1.75,2ec_high_off,133.33333333333334,125.03498361033515,0.38026292590728233,0.10681691121844217
eta,2.0,2ec_high_off,141.26666666666668,125.71476563574613,0.38837362093701683,0.1085660739968793
gamma,0.25,2ec_high_off,134.0,125.71999539205892,0.34766854936574504,0.11028238180389373
gamma,0.5,2ec_high_off,134.0,125.71999539205892,0.34584848207237673,0.10828314890244589
gamma,0.75,2ec_high_off,134.0,125.71999539205892,0.3418684551271173,0.1034704585171181
gamma,1.0,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
gamma,1.25,2ec_high_off,102.23333333333333,116.88948017128249,0.2963309450413458,0.08014357746801305
gamma,1.5,2ec_high_off,37.5,46.3969009072061,0.2626013702688319,0.03606011630822266
gamma,1.75,2ec_high_off,29.2,4.551619643523648,0.2585410419843358,0.025241196305536034
gamma,2.0,2ec_high_off,29.2,4.551619643523648,0.2585410419843358,0.025241196305536034
lambda_t,0.25,2ec_high_off,133.7,125.48613057034326,0.32700014134128214,0.09512483177874247
lambda_t,0.5,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
lambda_t,0.75,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
lambda_t,1.0,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
lambda_t,1.25,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
lambda_t,1.5,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
lambda_t,1.75,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
lambda_t,2.0,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
omega,0.25,2ec_high_off,133.7,125.48613057034326,0.32700014134128214,0.09512483177874247
omega,0.5,2ec_high_off,133.7,125.48613057034326,0.32700014134128214,0.09512483177874247
omega,0.75,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
omega,1.0,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
omega,1.25,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
omega,1.5,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
omega,1.75,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
omega,2.0,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
rho,0.25,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
rho,0.5,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
rho,0.75,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
rho,1.0,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
rho,1.25,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
rho,1.5,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
rho,1.75,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
rho,2.0,2ec_high_off,134.0,125.71999539205892,0.32772259414290994,0.09605601614651135
