scenario,algo,seed,step,elapsed_ms
sample,tetris,428956419,1,3.5384
sample,tetris,428956419,2,1.2469
sample,tetris,428956419,3,2.1022
sample,tetris,428956419,4,1.3598
sample,tetris,428956419,5,1.4551
sample,tetris,428956419,6,1.3475
sample,tetris,428956419,7,1.3138
sample,tetris,428956419,8,1.1969
sample,tetris,428956419,9,2.028
sample,tetris,428956419,10,1.4211
sample,tetris,428956419,11,1.395
sample,tetris,428956419,12,1.1819
sample,tetris,428956419,13,1.2536
sample,tetris,428956419,14,1.0738
sample,tetris,428956419,15,1.2222
sample,tetris,428956419,16,1.1421
sample,tetris,428956419,17,1.5062
sample,tetris,428956419,18,1.3527
sample,tetris,428956419,19,1.6838
sample,tetris,428956419,20,1.2188
sample,tetris,428956419,21,1.4888
sample,tetris,428956419,22,1.2107
sample,tetris,428956419,23,1.4267
sample,tetris,428956419,24,1.0692
sample,tetris,428956419,25,1.3801
sample,tetris,428956419,26,1.4128
sample,tetris,428956419,27,1.2767
sample,tetris,428956419,28,1.0797
sample,tetris,428956419,29,1.2638
sample,tetris,428956419,30,1.1279
sample,tetris,428956419,31,1.2324
sample,tetris,428956419,32,1.3803
sample,tetris,428956419,33,2.1617
sample,tetris,428956419,34,1.1791
sample,tetris,428956419,35,1.2258
sample,tetris,428956419,36,1.0674
sample,tetris,428956419,37,1.2941
sample,tetris,428956419,38,1.0586
sample,tetris,428956419,39,1.2814
sample,tetris,428956419,40,1.0595
sample,tetris,428956419,41,1.1563
sample,tetris,428956419,42,1.0007
sample,tetris,428956419,43,1.1319
sample,tetris,428956419,44,1.0519
sample,tetris,428956419,45,1.1731
sample,tetris,428956419,46,0.998
sample,tetris,428956419,47,1.1893
sample,tetris,428956419,48,1.0298
sample,tetris,428956419,49,1.513
sample,tetris,428956419,50,1.2348
sample,tetris,428956419,51,1.2265
sample,tetris,428956419,52,1.0001
sample,tetris,428956419,53,1.204
sample,tetris,428956419,54,1.3364
sample,tetris,428956419,55,2.0662
sample,tetris,428956419,56,1.343
sample,tetris,428956419,57,1.2073
sample,tetris,428956419,58,1.0729
sample,tetris,428956419,59,1.1551
sample,tetris,428956419,60,1.0157
2ec_low_on,tetris,428956419,1,3.0498
2ec_low_on,tetris,428956419,2,1.4651
2ec_low_on,tetris,428956419,3,1.5001
2ec_low_on,tetris,428956419,4,1.3094
2ec_low_on,tetris,428956419,5,1.3405
2ec_low_on,tetris,428956419,6,1.2346
2ec_low_on,tetris,428956419,7,1.9146
2ec_low_on,tetris,428956419,8,1.1666
2ec_low_off,tetris,428956419,1,1.744
2ec_low_off,tetris,428956419,2,1.5341
2ec_low_off,tetris,428956419,3,1.5494
