Object,Time Step,Instance ID,Available,Server,Being Provisioned,Last Migration
Service_1,0,1,True,,False,
Service_2,0,2,True,,False,
Service_3,0,3,True,,False,
Service_4,0,4,True,,False,
Service_5,0,5,True,,False,
Service_6,0,6,True,,False,
Service_1,1,1,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_2,1,2,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_3,1,3,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_6', 'start': 1, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_4,1,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,1,5,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_6', 'start': 1, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_6,1,6,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,2,1,True,5.0,True,"{'status': 'pulling_layers', 'origin': 'EdgeServer_5', 'target': 'EdgeServer_7', 'start': 2, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,2,2,True,5.0,True,"{'status': 'pulling_layers', 'origin': 'EdgeServer_5', 'target': 'EdgeServer_7', 'start': 2, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_3,2,3,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_4,2,4,True,5.0,True,"{'status': 'pulling_layers', 'origin': 'EdgeServer_5', 'target': 'EdgeServer_7', 'start': 2, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_5,2,5,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 2, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_6,2,6,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 2, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_1,3,1,True,5.0,True,"{'status': 'pulling_layers', 'origin': 'EdgeServer_5', 'target': 'EdgeServer_7', 'start': 3, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,3,2,True,5.0,True,"{'status': 'pulling_layers', 'origin': 'EdgeServer_5', 'target': 'EdgeServer_7', 'start': 3, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_3,3,3,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 3, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_4,3,4,True,5.0,True,"{'status': 'pulling_layers', 'origin': 'EdgeServer_5', 'target': 'EdgeServer_7', 'start': 3, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_5,3,5,True,,True,"{'status': 'pulling_layers', 'origin': 'None', 'target': 'EdgeServer_7', 'start': 3, 'end': None, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
