scenario,algo,seed,step,elapsed_ms
sample,thea,428956419,1,1.7787
sample,thea,428956419,2,0.4291
sample,thea,428956419,3,0.3682
sample,thea,428956419,4,0.3422
sample,thea,428956419,5,0.3464
sample,thea,428956419,6,0.3474
sample,thea,428956419,7,0.3452
sample,thea,428956419,8,0.3265
sample,thea,428956419,9,0.3449
sample,thea,428956419,10,0.32
sample,thea,428956419,11,0.3536
sample,thea,428956419,12,0.3312
sample,thea,428956419,13,0.3809
sample,thea,428956419,14,0.3717
sample,thea,428956419,15,1.1688
sample,thea,428956419,16,0.6592
sample,thea,428956419,17,0.51
sample,thea,428956419,18,0.3978
sample,thea,428956419,19,0.3594
sample,thea,428956419,20,0.4374
sample,thea,428956419,21,0.3254
sample,thea,428956419,22,0.3255
sample,thea,428956419,23,0.3346
sample,thea,428956419,24,0.3195
sample,thea,428956419,25,0.733
sample,thea,428956419,26,0.8197
sample,thea,428956419,27,0.5285
sample,thea,428956419,28,0.3792
sample,thea,428956419,29,0.3678
sample,thea,428956419,30,0.3472
sample,thea,428956419,31,0.3663
sample,thea,428956419,32,0.328
sample,thea,428956419,33,0.3172
sample,thea,428956419,34,0.4511
sample,thea,428956419,35,0.3584
sample,thea,428956419,36,0.8536
sample,thea,428956419,37,0.4002
sample,thea,428956419,38,0.3866
sample,thea,428956419,39,0.328
sample,thea,428956419,40,0.3159
sample,thea,428956419,41,0.3125
sample,thea,428956419,42,0.3355
sample,thea,428956419,43,0.3663
sample,thea,428956419,44,0.3455
sample,thea,428956419,45,0.3233
sample,thea,428956419,46,0.7301
sample,thea,428956419,47,0.4017
sample,thea,428956419,48,0.4684
sample,thea,428956419,49,0.4037
sample,thea,428956419,50,0.3813
sample,thea,428956419,51,0.3549
sample,thea,428956419,52,0.3472
sample,thea,428956419,53,0.3361
sample,thea,428956419,54,0.5434
sample,thea,428956419,55,0.3912
sample,thea,428956419,56,0.3471
sample,thea,428956419,57,0.342
sample,thea,428956419,58,0.3155
sample,thea,428956419,59,1.0295
sample,thea,428956419,60,0.3943
2ec_low_on,thea,428956419,1,3.4483
2ec_low_on,thea,428956419,2,1.7542
2ec_low_on,thea,428956419,3,1.4939
2ec_low_on,thea,428956419,4,1.4468
2ec_low_on,thea,428956419,5,1.2794
2ec_low_on,thea,428956419,6,1.2356
2ec_low_on,thea,428956419,7,1.2379
2ec_low_on,thea,428956419,8,1.2368
2ec_low_on,thea,428956419,9,2.1461
2ec_low_on,thea,428956419,10,1.3069
2ec_low_off,thea,428956419,1,2.6102
2ec_low_off,thea,428956419,2,1.3109
2ec_low_off,thea,428956419,3,1.2065
2ec_low_off,thea,428956419,4,1.8127
2ec_low_off,thea,428956419,5,1.1488
2ec_low_off,thea,428956419,6,1.0951
2ec_low_off,thea,428956419,7,1.1001
2ec_low_off,thea,428956419,8,1.1348
2ec_low_off,thea,428956419,9,1.0683
2ec_high_on,thea,428956419,1,4.0146
2ec_high_on,thea,428956419,2,1.5432
2ec_high_on,thea,428956419,3,1.2157
2ec_high_on,thea,428956419,4,1.3568
2ec_high_on,thea,428956419,5,1.1926
2ec_high_on,thea,428956419,6,1.2846
2ec_high_on,thea,428956419,7,1.7726
2ec_high_on,thea,428956419,8,1.8279
2ec_high_off,thea,428956419,1,3.5333
2ec_high_off,thea,428956419,2,1.5358
2ec_high_off,thea,428956419,3,1.3236
2ec_high_off,thea,428956419,4,1.3414
2ec_high_off,thea,428956419,5,1.3275
2ec_high_off,thea,428956419,6,1.1177
2ec_high_off,thea,428956419,7,1.0959
2ec_high_off,thea,428956419,8,1.0538
2ec_high_off,thea,428956419,9,0.9349
2ec_high_off,thea,428956419,10,0.9335
2ec_high_off,thea,428956419,11,0.9483
2ec_high_off,thea,428956419,12,0.9078
2ec_high_off,thea,428956419,13,0.9071
2ec_high_off,thea,428956419,14,1.1232
2ec_high_off,thea,428956419,15,1.2339
2ec_high_off,thea,428956419,16,0.9881
2ec_high_off,thea,428956419,17,0.9421
2ec_high_off,thea,428956419,18,0.9801
2ec_high_off,thea,428956419,19,0.912
2ec_high_off,thea,428956419,20,0.9019
2ec_high_off,thea,428956419,21,0.9582
2ec_high_off,thea,428956419,22,0.9194
2ec_high_off,thea,428956419,23,1.8633
2ec_high_off,thea,428956419,24,1.5431
2ec_high_off,thea,428956419,25,1.0145
2ec_high_off,thea,428956419,26,0.9665
2ec_high_off,thea,428956419,27,1.0845
2ec_high_off,thea,428956419,28,0.9481
2ec_high_off,thea,428956419,29,0.9605
2ec_high_off,thea,428956419,30,0.976
2ec_high_off,thea,428956419,31,1.2388
2ec_high_off,thea,428956419,32,1.0897
2ec_high_off,thea,428956419,33,0.9953
2ec_high_off,thea,428956419,34,0.9735
2ec_high_off,thea,428956419,35,1.0643
2ec_high_off,thea,428956419,36,0.9666
2ec_high_off,thea,428956419,37,0.9733
2ec_high_off,thea,428956419,38,1.0075
2ec_high_off,thea,428956419,39,0.9628
2ec_high_off,thea,428956419,40,1.4694
2ec_high_off,thea,428956419,41,1.6767
2ec_high_off,thea,428956419,42,1.064
2ec_high_off,thea,428956419,43,0.9847
2ec_high_off,thea,428956419,44,1.0027
2ec_high_off,thea,428956419,45,0.9877
2ec_high_off,thea,428956419,46,0.973
2ec_high_off,thea,428956419,47,0.9885
2ec_high_off,thea,428956419,48,1.193
2ec_high_off,thea,428956419,49,1.1584
2ec_high_off,thea,428956419,50,1.0859
2ec_high_off,thea,428956419,51,1.0113
2ec_high_off,thea,428956419,52,2.1618
2ec_high_off,thea,428956419,53,1.2102
2ec_high_off,thea,428956419,54,1.0453
2ec_high_off,thea,428956419,55,2.4041
2ec_high_off,thea,428956419,56,1.0127
2ec_high_off,thea,428956419,57,1.1113
2ec_high_off,thea,428956419,58,0.9831
2ec_high_off,thea,428956419,59,0.9781
2ec_high_off,thea,428956419,60,0.9901
sample,thea,1954324947,1,0.8882
sample,thea,1954324947,2,0.3013
sample,thea,1954324947,3,0.2606
sample,thea,1954324947,4,0.2605
sample,thea,1954324947,5,0.2641
sample,thea,1954324947,6,0.2639
sample,thea,1954324947,7,0.2629
sample,thea,1954324947,8,0.2819
sample,thea,1954324947,9,0.2625
sample,thea,1954324947,10,0.2538
sample,thea,1954324947,11,0.2638
sample,thea,1954324947,12,0.2492
sample,thea,1954324947,13,0.248
sample,thea,1954324947,14,0.2501
sample,thea,1954324947,15,0.2879
sample,thea,1954324947,16,0.2536
sample,thea,1954324947,17,0.2504
sample,thea,1954324947,18,0.2506
sample,thea,1954324947,19,0.2486
sample,thea,1954324947,20,0.2611
sample,thea,1954324947,21,0.2546
sample,thea,1954324947,22,0.3737
sample,thea,1954324947,23,0.3064
sample,thea,1954324947,24,0.2826
sample,thea,1954324947,25,0.259
sample,thea,1954324947,26,0.2703
sample,thea,1954324947,27,0.2589
sample,thea,1954324947,28,0.2559
sample,thea,1954324947,29,0.2982
sample,thea,1954324947,30,0.2554
sample,thea,1954324947,31,0.2596
sample,thea,1954324947,32,0.2526
sample,thea,1954324947,33,0.2532
sample,thea,1954324947,34,0.2556
sample,thea,1954324947,35,0.2509
sample,thea,1954324947,36,0.2528
sample,thea,1954324947,37,0.2502
sample,thea,1954324947,38,0.2518
sample,thea,1954324947,39,0.4066
sample,thea,1954324947,40,0.2843
sample,thea,1954324947,41,0.27
sample,thea,1954324947,42,0.2627
sample,thea,1954324947,43,0.2666
sample,thea,1954324947,44,0.2604
sample,thea,1954324947,45,0.2679
sample,thea,1954324947,46,0.2504
sample,thea,1954324947,47,0.2508
sample,thea,1954324947,48,0.2491
sample,thea,1954324947,49,0.2536
sample,thea,1954324947,50,0.2484
sample,thea,1954324947,51,0.2565
sample,thea,1954324947,52,0.2523
sample,thea,1954324947,53,0.251
sample,thea,1954324947,54,0.2486
sample,thea,1954324947,55,0.3459
sample,thea,1954324947,56,0.2795
sample,thea,1954324947,57,0.2595
sample,thea,1954324947,58,0.2659
sample,thea,1954324947,59,0.2517
sample,thea,1954324947,60,0.2489
2ec_low_on,thea,1954324947,1,3.1078
2ec_low_on,thea,1954324947,2,1.4054
2ec_low_on,thea,1954324947,3,1.3307
2ec_low_on,thea,1954324947,4,1.2295
2ec_low_on,thea,1954324947,5,1.22
2ec_low_on,thea,1954324947,6,2.5486
2ec_low_on,thea,1954324947,7,1.1221
2ec_low_on,thea,1954324947,8,1.1002
2ec_low_on,thea,1954324947,9,1.1036
2ec_low_on,thea,1954324947,10,1.0986
2ec_low_on,thea,1954324947,11,1.0726
2ec_low_on,thea,1954324947,12,1.0625
